act_n,dist_rank,genre_rank,direct_rank,네이버_기대지수,star_buzz,movie_buzz_naver,google_trend,Target
7,4,13,67,5.0,1,0,1104.0,0
22,8,13,67,0.0,132,19,522.0,1
56,3,3,44,0.0,885,103,484.0,1
109,2,3,67,0.0,1174,107,442.0,1
62,2,10,67,0.0,1007,76,1002.0,1
57,4,3,23,0.0,1157,223,414.0,1
44,3,12,3,0.0,2670,433,557.0,1
56,7,13,67,0.0,85,31,539.0,1
87,4,4,40,0.0,881,67,539.0,1
64,1,7,25,0.0,338,27,512.0,1
84,3,13,67,0.0,1271,64,450.0,1
11,8,8,67,0.0,369,39,0.0,1
69,4,13,28,0.0,62,29,494.0,1
36,3,13,67,0.0,1230,131,706.0,0
16,1,11,67,744.0,750,74,604.0,1
101,1,13,61,9189.0,1083,124,476.0,1
34,3,12,27,0.0,1380,210,880.0,1
8,1,5,67,0.0,456,0,0.0,0
43,1,8,67,0.0,1125,72,1036.0,1
6,8,13,67,0.0,55,0,590.0,0
37,2,13,14,0.0,865,86,986.0,1
60,3,13,84,0.0,206,21,404.0,0
122,1,7,67,0.0,440,42,375.0,1
227,2,5,12,62978.0,3120,0,540.0,1
96,3,3,49,5953.0,1189,85,969.0,1
60,3,10,67,4059.0,1427,116,369.0,1
191,4,2,41,4570.0,1216,159,459.0,1
41,3,6,67,7780.0,1656,132,1096.0,1
69,5,5,67,479.0,101,27,519.0,0
71,3,7,67,5113.0,916,92,615.0,1
83,3,2,2,13639.0,2010,339,551.0,1
94,5,8,53,4930.0,1576,172,545.0,1
60,4,9,34,8640.0,612,94,0.0,1
94,1,3,16,12198.0,2051,224,682.0,1
101,1,2,71,8746.0,2430,188,466.0,0
58,8,10,67,8499.0,1428,136,615.0,1
46,8,13,67,1262.0,372,60,629.0,0
27,8,13,67,223.0,114,7,496.0,0
149,1,3,67,46891.0,1065,157,496.0,1
17,8,13,67,301.0,104,17,271.0,0
5,7,15,83,9464.0,555,83,658.0,1
68,4,7,55,2717.0,1302,158,0.0,0
168,3,2,63,12459.0,1718,278,761.0,0
33,8,13,67,252.0,74,15,409.0,0
50,6,13,67,31698.0,1800,140,2248.0,0
79,8,5,67,3298.0,805,0,344.0,0
75,2,7,67,3993.0,685,78,465.0,1
35,8,10,67,117.0,42,9,100.0,0
243,8,13,64,47687.0,882,0,456.0,1
45,2,8,67,3408.0,561,43,622.0,1
83,2,2,31,8397.0,1154,173,770.0,0
5,9,13,98,210.0,50,10,483.0,0
42,5,13,40,8002.0,904,79,763.0,1
167,4,2,35,20348.0,1973,195,463.0,1
20,9,15,67,101.0,12,1,100.0,0
51,3,9,21,30.0,1408,135,480.0,1
42,3,7,67,5658.0,755,55,464.0,1
3,8,13,67,119.0,12,7,0.0,0
142,2,13,36,8257.0,1703,160,715.0,0
97,3,13,67,6179.0,707,63,0.0,1
76,3,13,36,163.0,1859,148,1059.0,1
120,1,2,40,22459.0,2043,209,1098.0,1
143,2,8,67,6556.0,502,50,687.0,1
58,3,13,67,1727.0,345,57,525.0,1
171,2,8,78,39795.0,1101,198,1509.0,0
18,8,14,67,1407.0,260,11,550.0,0
179,2,6,67,17219.0,1050,310,650.0,1
36,8,13,67,194.0,82,8,387.0,0
21,8,15,67,81.0,34,4,0.0,0
49,6,13,67,6860.0,778,51,957.0,1
88,2,10,67,5486.0,1604,135,929.0,1
36,8,13,96,182.0,216,23,312.0,0
64,8,5,67,2734.0,996,101,782.0,1
228,3,13,68,1192.0,268,37,784.0,0
41,3,3,60,101.0,34,4,797.0,0
58,6,13,67,5046.0,809,119,488.0,0
37,8,13,81,614.0,247,29,712.0,0
108,3,10,43,12076.0,2040,265,735.0,1
91,3,5,6,9952.0,2913,230,414.0,1
20,8,3,67,619.0,263,10,0.0,0
66,8,15,67,0.0,17,4,100.0,0
10,9,13,67,33.0,103,7,0.0,0
85,8,3,33,8238.0,947,97,389.0,1
61,3,10,67,19766.0,1860,174,456.0,1
21,8,10,97,316.0,129,5,1441.0,0
97,8,13,67,1296.0,966,91,0.0,0
53,4,13,67,0.0,1672,201,599.0,1
85,3,5,76,2136.0,1299,138,539.0,0
69,8,13,67,1465.0,887,64,1910.0,1
98,6,13,84,3583.0,585,107,1639.0,0
24,3,7,43,0.0,718,75,161.0,1
100,1,2,8,0.0,2580,129,831.0,1
85,1,5,22,0.0,1590,131,685.0,1
65,3,13,82,1496.0,478,108,454.0,1
31,8,9,67,124.0,113,25,993.0,0
49,8,10,67,0.0,93,2,0.0,0
70,6,9,67,3750.0,632,51,678.0,1
3,8,15,67,291.0,150,34,0.0,0
92,2,13,67,28626.0,908,232,385.0,1
98,3,2,80,7092.0,1234,93,531.0,0
78,1,3,26,2407.0,1253,127,461.0,1
140,4,3,77,2252.0,953,103,1323.0,0
3,8,8,67,259.0,95,4,397.0,0
48,3,5,47,1717.0,1233,19,589.0,1
49,1,5,18,1320.0,1151,192,791.0,1
50,8,15,67,155.0,223,4,0.0,0
119,4,2,15,6255.0,2407,265,528.0,1
5,3,10,35,0.0,909,42,794.0,0
39,8,7,67,0.0,165,7,1155.0,0
7,8,8,67,0.0,300,1,516.0,0
70,8,8,77,0.0,750,66,497.0,1
8,8,11,66,0.0,75,7,610.0,1
65,8,10,67,4017.0,1099,80,794.0,1
44,8,7,67,0.0,69,14,100.0,1
45,8,8,56,0.0,350,70,293.0,1
45,2,8,67,0.0,810,71,666.0,1
7,2,10,67,0.0,484,34,942.0,0
50,8,7,67,0.0,132,4,807.0,0
9,8,10,67,0.0,903,51,245.0,1
60,8,13,67,2564.0,302,45,1486.0,1
88,6,13,67,48999.0,1809,318,1860.0,1
67,3,10,67,7380.0,1423,146,783.0,1
110,8,13,32,7157.0,2051,325,0.0,1
146,8,8,67,3469.0,115,11,297.0,0
33,3,13,67,606.0,137,31,190.0,0
59,2,8,13,27413.0,2084,193,865.0,1
3,8,10,92,430.0,161,10,586.0,0
115,1,5,1,20846.0,2733,225,1726.0,1
338,1,5,44,21361.0,1860,137,353.0,1
32,5,14,95,1766.0,411,31,976.0,0
80,6,8,67,2529.0,528,34,646.0,0
102,8,13,58,0.0,659,139,513.0,1
132,6,13,93,194.0,210,46,1162.0,0
10,8,8,67,75.0,2,0,1924.0,0
133,3,10,67,15600.0,1637,165,514.0,1
29,3,7,67,5302.0,628,45,846.0,1
29,3,15,67,8651.0,1572,55,0.0,1
86,4,13,67,2953.0,1158,174,417.0,0
6,8,9,67,50.0,19,4,0.0,0
56,3,10,86,0.0,339,0,1871.0,0
2,8,13,67,111.0,91,15,914.0,0
91,8,8,67,633.0,292,34,337.0,1
6,9,13,67,236.0,124,13,294.0,1
46,8,8,67,202.0,20,0,493.0,0
58,3,7,67,21671.0,2589,131,744.0,1
103,3,3,73,1932.0,772,131,487.0,1
73,3,13,5,13693.0,1987,219,947.0,1
70,2,13,72,10731.0,1196,124,886.0,0
148,4,1,5,4941.0,1413,379,0.0,1
32,7,8,100,247.0,147,25,459.0,1
295,3,13,67,13877.0,1830,61,2593.0,1
