screenCnt,audiAcc,act_n,dist_rank,genre_rank,등급_12세관람가,등급_12세이상관람가,등급_15세이상관람가,등급_전체관람가,등급_청소년관람불가,cont_rank
463,182256,2.3978952727983707,12,8,0,0,0,1,0,6
203,69834,2.1972245773362196,33,4,0,0,1,0,0,2
1,1,1.6094379124341003,96,10,0,0,0,0,1,18
724,552962,1.9459101490553132,9,8,0,0,0,1,0,2
758,874967,2.772588722239781,6,8,0,0,0,1,0,1
542,395408,1.791759469228055,8,8,0,1,0,0,0,6
5,163,1.6094379124341003,71,4,0,0,1,0,0,18
6,788,2.4849066497880004,71,18,0,0,0,1,0,17
1957,6584915,1.791759469228055,7,4,0,0,1,0,0,2
1,50,1.3862943611198906,50,6,0,1,0,0,0,11
36,3591,2.70805020110221,66,11,0,1,0,0,0,1
5,522,1.791759469228055,51,11,0,0,1,0,0,11
37,6234,2.0794415416798357,20,7,0,1,0,0,0,2
5,30,1.791759469228055,91,4,0,0,1,0,0,17
220,189948,1.9459101490553132,9,4,0,0,1,0,0,2
1,1,1.791759469228055,67,4,0,0,0,0,1,6
121,37764,2.4849066497880004,82,8,0,1,0,0,0,6
